Date,Price,Open,High,Low,Change %
Dec-22,3.669,3.084,3.761,3.007,16.00%
Nov-22,3.163,3.486,3.689,2.899,-10.22%
Oct-22,3.523,4.053,4.632,3.378,-13.99%
Sep-22,4.096,2.861,4.582,2.824,46.34%
Aug-22,2.799,1.883,2.874,1.711,51.05%
Jul-22,1.853,2.214,2.281,1.84,-17.28%
Jun-22,2.24,2.12,2.745,2.097,6.67%
May-22,2.1,1.862,2.125,1.668,10.01%
Apr-22,1.909,1.647,2.023,1.527,18.79%
Mar-22,1.607,1.398,1.75,1.105,13.57%
Feb-22,1.415,1.307,1.607,1.247,8.10%
Jan-22,1.309,0.974,1.314,0.946,34.67%
Dec-21,0.972,0.83,1.027,0.681,19.85%
Nov-21,0.811,1.042,1.117,0.778,-21.41%
Oct-21,1.032,0.99,1.219,0.964,0.98%
Sep-21,1.022,0.721,1.066,0.669,64.31%
Aug-21,0.622,0.572,0.63,0.48,9.89%
Jul-21,0.566,0.734,0.749,0.5,-21.17%
Jun-21,0.718,0.805,0.846,0.691,-9.80%
May-21,0.796,0.837,0.925,0.738,-5.58%
Apr-21,0.843,0.86,0.868,0.713,-0.35%
Mar-21,0.846,0.792,0.908,0.681,2.79%
Feb-21,0.823,0.323,0.836,0.32,150.15%
Jan-21,0.329,0.207,0.366,0.156,67.86%
Dec-20,0.196,0.307,0.37,0.155,-35.95%
Nov-20,0.306,0.255,0.441,0.173,16.35%
Oct-20,0.263,0.238,0.315,0.152,13.36%
Sep-20,0.232,0.313,0.349,0.143,-25.88%
Aug-20,0.313,0.107,0.372,0.065,198.10%
Jul-20,0.105,0.204,0.226,0.07,-38.95%
Jun-20,0.172,0.195,0.376,0.138,-7.03%
May-20,0.185,0.235,0.295,0.134,-18.50%
Apr-20,0.227,0.31,0.414,0.227,-36.06%
Mar-20,0.355,0.456,1.058,0.074,-19.32%
Feb-20,0.44,0.525,0.66,0.398,-16.35%
Jan-20,0.526,0.868,0.877,0.475,-36.24%
Dec-19,0.825,0.72,0.895,0.652,17.86%
Nov-19,0.7,0.631,0.833,0.62,10.94%
Oct-19,0.631,0.5,0.793,0.407,29.84%
Sep-19,0.486,0.481,0.767,0.341,1.46%
Aug-19,0.479,0.624,0.632,0.405,-21.35%
Jul-19,0.609,0.855,0.858,0.608,-26.80%
Jun-19,0.832,0.879,0.907,0.785,-6.31%
May-19,0.888,1.183,1.224,0.854,-25.13%
Apr-19,1.186,1.026,1.248,0.995,19.08%
Mar-19,0.996,1.309,1.326,0.968,-23.56%
Feb-19,1.303,1.227,1.318,1.122,6.80%
Jan-19,1.22,1.249,1.376,1.176,-3.86%
Dec-18,1.269,1.382,1.388,1.16,-6.96%
Nov-18,1.364,1.456,1.569,1.321,-5.08%
Oct-18,1.437,1.578,1.749,1.363,-8.70%
Sep-18,1.574,1.435,1.642,1.393,10.15%
Aug-18,1.429,1.351,1.502,1.198,7.36%
Jul-18,1.331,1.263,1.361,1.168,4.15%
Jun-18,1.278,1.277,1.44,1.235,3.99%
May-18,1.229,1.424,1.565,1.107,-13.33%
Apr-18,1.418,1.337,1.571,1.332,5.04%
Mar-18,1.35,1.5,1.567,1.349,-10.12%
Feb-18,1.502,1.527,1.691,1.485,-0.66%
Jan-18,1.512,1.206,1.514,1.205,27.27%
Dec-17,1.188,1.323,1.33,1.139,-10.74%
Nov-17,1.331,1.34,1.378,1.196,-0.15%
Oct-17,1.333,1.39,1.441,1.268,-2.42%
Sep-17,1.366,1.038,1.424,0.957,31.85%
Aug-17,1.036,1.249,1.261,0.988,-15.84%
Jul-17,1.231,1.282,1.339,1.169,-2.22%
Jun-17,1.259,1.049,1.292,0.928,20.02%
May-17,1.049,1.088,1.223,0.986,-3.50%
Apr-17,1.087,1.141,1.147,1,-4.65%
Mar-17,1.14,1.172,1.299,1.11,-0.96%
Feb-17,1.151,1.454,1.47,1.068,-18.83%
Jan-17,1.418,1.241,1.53,1.239,14.35%
Dec-16,1.24,1.416,1.537,1.219,-12.55%
Nov-16,1.418,1.276,1.498,1.115,13.80%
Oct-16,1.246,0.743,1.312,0.713,66.58%
Sep-16,0.748,0.654,0.951,0.64,16.51%
Aug-16,0.642,0.692,0.842,0.503,-6.41%
Jul-16,0.686,0.845,0.891,0.686,-21.24%
Jun-16,0.871,1.428,1.431,0.863,-39.13%
May-16,1.431,1.609,1.61,1.354,-10.45%
Apr-16,1.598,1.423,1.669,1.319,12.69%
Mar-16,1.418,1.339,1.586,1.316,6.06%
Feb-16,1.337,1.561,1.635,1.225,-14.35%
Jan-16,1.561,1.92,1.921,1.559,-20.40%
Dec-15,1.961,1.85,1.998,1.723,7.16%
Nov-15,1.83,1.927,2.089,1.801,-4.98%
Oct-15,1.926,1.78,1.949,1.646,9.12%
Sep-15,1.765,1.96,1.989,1.73,-9.49%
Aug-15,1.95,1.899,2.007,1.696,3.61%
Jul-15,1.882,2.059,2.178,1.782,-7.29%
Jun-15,2.03,1.831,2.213,1.808,12.53%
May-15,1.804,1.811,2.07,1.788,-1.69%
Apr-15,1.835,1.585,1.884,1.501,16.21%
Mar-15,1.579,1.782,1.964,1.444,-11.74%
Feb-15,1.789,1.344,1.86,1.34,33.41%
Jan-15,1.341,1.775,1.808,1.337,-23.63%
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
